RiseTime,SettlingMax,SettlingMin,SettlingTime,Peak,PeakTime,Overshoot,Undershoot
0.034556,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.034556,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.034556,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.034556,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.034556,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.034556,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.034556,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.034556,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.03289,1.0015,0.90271,0.068319,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.034556,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.034556,1.0015,0.90271,0.068319,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.034556,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.068319,1.0015,0.10167,0.14591,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.034556,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.033723,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.034556,1.0015,0.90271,0.067485,1.0015,0.10167,0.14591,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.03289,1.0015,0.90271,0.067485,1.0015,0.1,0.14589,-0
0.033723,1.0015,0.90271,0.066652,1.0015,0.1,0.14589,-0
